package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
com.omar.nowplaying.queue.QueueScreen,QueueScreen,1,1,1,0,0,0,1,0,2,3,
com.omar.nowplaying.queue.QueueScreen,QueueScreen,1,1,1,0,0,0,0,0,2,7,
com.omar.nowplaying.queue.QueueSongRow,QueueSongRow,1,0,1,0,0,0,0,0,1,5,
com.omar.nowplaying.queue.DeleteBackground,DeleteBackground,1,1,1,0,0,0,0,0,1,1,
com.omar.nowplaying.queue.QueueTopBar,QueueTopBar,1,1,1,0,0,0,0,0,1,2,
com.omar.nowplaying.speed.PlaybackSpeedDialog,PlaybackSpeedDialog,1,1,1,0,0,0,0,0,1,3,
com.omar.nowplaying.speed.rememberPlaybackSpeedDialog,rememberPlaybackSpeedDialog,1,0,0,0,0,0,0,0,2,4,
com.omar.nowplaying.timer.SleepTimerDialog,SleepTimerDialog,1,1,1,0,0,0,0,0,1,3,
com.omar.nowplaying.timer.rememberSleepTimerDialog,rememberSleepTimerDialog,1,0,0,0,0,0,0,0,2,3,
com.omar.nowplaying.ui.CrossFadingAlbumArt,CrossFadingAlbumArt,1,1,1,0,0,0,0,0,1,10,
com.omar.nowplaying.ui.DarkStatusBarEffect,DarkStatusBarEffect,1,1,1,0,0,0,0,0,1,2,
com.omar.nowplaying.ui.PlayerFooter,PlayerFooter,1,1,1,0,0,0,0,0,1,1,
com.omar.nowplaying.ui.NowPlayingOverflowMenu,NowPlayingOverflowMenu,1,1,1,0,0,0,0,0,1,6,
com.omar.nowplaying.ui.rememberNowPlayingOptions,rememberNowPlayingOptions,1,0,0,0,0,0,0,0,1,3,
com.omar.nowplaying.ui.NowPlayingScreen,NowPlayingScreen,1,1,1,0,0,0,1,0,3,6,
com.omar.nowplaying.ui.NowPlayingScreen,NowPlayingScreen,1,1,1,0,0,0,0,0,5,9,
com.omar.nowplaying.ui.FullScreenNowPlaying,FullScreenNowPlaying,1,1,1,0,0,0,0,0,1,2,
com.omar.nowplaying.ui.SongControls,SongControls,1,1,1,0,0,0,0,0,1,1,
com.omar.nowplaying.ui.ControlButton,ControlButton,1,1,1,0,0,0,0,0,1,2,
com.omar.nowplaying.ui.NowPlayingBarHeader,NowPlayingBarHeader,1,1,1,0,0,0,0,0,1,1,
com.omar.nowplaying.ui.SongCircularProgressIndicator,SongCircularProgressIndicator,1,1,1,0,0,0,0,0,1,4,
com.omar.nowplaying.ui.PlayingScreen2,PlayingScreen2,1,1,1,0,0,0,0,0,5,3,
com.omar.nowplaying.ui.CompactPlayerScreen,CompactPlayerScreen,1,1,1,0,0,0,0,0,1,1,
com.omar.nowplaying.ui.PortraitPlayerScreen,PortraitPlayerScreen,1,1,1,0,0,0,0,0,1,1,
com.omar.nowplaying.ui.LandscapePlayerScreen,LandscapePlayerScreen,1,1,1,0,0,0,0,0,1,1,
com.omar.nowplaying.ui.PlayerScreenSkeleton,PlayerScreenSkeleton,1,1,1,0,0,0,0,0,2,4,
com.omar.nowplaying.ui.SongProgressInfo,SongProgressInfo,1,1,1,0,0,0,0,0,1,11,
com.omar.nowplaying.ui.SongTextInfo,SongTextInfo,1,1,1,0,0,0,0,0,1,1,
