package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
com.omar.musica.settings.SettingsScreen,SettingsScreen,1,1,1,0,0,0,1,0,2,3,
com.omar.musica.settings.SettingsScreen,SettingsScreen,1,1,1,0,0,0,0,0,1,2,
com.omar.musica.settings.SettingsList,SettingsList,1,0,1,0,0,0,0,0,1,1,
com.omar.musica.settings.JumpDurationDialog,JumpDurationDialog,1,1,1,0,0,0,0,0,1,2,
com.omar.musica.settings.BlacklistedFoldersDialog,BlacklistedFoldersDialog,1,1,1,0,0,0,0,0,1,3,
com.omar.musica.settings.AppThemeDialog,AppThemeDialog,1,1,1,0,0,0,0,0,1,2,
com.omar.musica.settings.PlayerThemeDialog,PlayerThemeDialog,1,1,1,0,0,0,0,0,1,2,
com.omar.musica.settings.SectionTitle,SectionTitle,1,1,1,0,0,0,0,0,1,2,
com.omar.musica.settings.SettingsTopAppBar,SettingsTopAppBar,1,1,1,0,0,0,0,0,1,1,
com.omar.musica.settings.common.ColorPickerDialog,ColorPickerDialog,1,1,1,0,0,0,0,0,1,2,
com.omar.musica.settings.common.ColorComponentSlider,ColorComponentSlider,1,1,1,0,0,0,0,0,1,1,
com.omar.musica.settings.common.GeneralSettingsItem,GeneralSettingsItem,1,1,1,0,0,0,0,0,2,3,
com.omar.musica.settings.common.SwitchSettingsItem,SwitchSettingsItem,1,1,1,0,0,0,0,0,1,1,
com.omar.musica.settings.common.InformationDialog,InformationDialog,1,1,1,0,0,0,0,0,1,1,
